"","id2","totalPop17","age65_17","ageMed_17","totalPop12","percage65_12","ageMed_12","age65_12","totalChange","age65Change","percentChange","age65ChangeZ","percentChangeZ","age65_index"
"2678","48309",245720,33503,33.2,234626,12.5,32.8,29328,11094,4175,14.24,0.28,0.07,0.154
"2679","48311",600,159,42,696,22.7,41.9,158,-96,1,0.63,-0.33,-1.05,-0.762
"2680","48313",13979,2101,35.2,13590,13.9,34.3,1889,389,212,11.22,-0.29,-0.18,-0.224
"2681","48315",10140,2487,49.8,10544,22.2,48.8,2341,-404,146,6.24,-0.3,-0.59,-0.474
"2682","48317",5547,673,31.7,4804,13,35.1,625,743,48,7.68,-0.32,-0.47,-0.41
"2683","48319",4122,1068,48.9,3978,27.6,49.8,1098,144,-30,-2.73,-0.33,-1.32,-0.924
"2684","48321",36744,5766,37.2,36653,14.3,38.1,5241,91,525,10.02,-0.25,-0.28,-0.268
"2685","48323",57471,6426,29.6,54107,10.8,30.1,5844,3364,582,9.96,-0.24,-0.29,-0.27
"2686","48325",48548,7702,38.8,46009,13.5,37.9,6211,2539,1491,24.01,-0.11,0.87,0.478
"2687","48327",2123,578,49.1,2232,22.7,43.7,507,-109,71,14,-0.32,0.05,-0.098
"2688","48329",159883,16386,31.8,138472,10.9,33.3,15093,21411,1293,8.57,-0.14,-0.4,-0.296
"2689","48331",24479,4792,41.5,24691,17.6,40.6,4346,-212,446,10.26,-0.26,-0.26,-0.26
"2690","48333",4887,1344,47.3,4880,22.1,47.2,1078,7,266,24.68,-0.29,0.92,0.436
"2691","48335",8774,1265,34.6,9367,13.6,35.4,1274,-593,-9,-0.71,-0.33,-1.16,-0.828
"2692","48337",19406,4288,44,19737,20.1,42.6,3967,-331,321,8.09,-0.28,-0.44,-0.376
"2693","48339",535187,65963,36.7,458339,10.5,36.2,48126,76848,17837,37.06,2.26,1.94,2.068
"2694","48341",22016,2161,30.5,21765,9.7,30.8,2111,251,50,2.37,-0.32,-0.91,-0.674
"2695","48343",12530,2612,42.9,12914,20,43,2583,-384,29,1.12,-0.32,-1.01,-0.734
"2696","48345",1114,321,37.6,1153,23.2,43,267,-39,54,20.22,-0.32,0.56,0.208
"2697","48347",65411,8628,30.6,64647,11.9,29.7,7693,764,935,12.15,-0.19,-0.11,-0.142
"2698","48349",48239,7922,38.9,47739,14.4,37.1,6874,500,1048,15.25,-0.17,0.15,0.022
"2699","48351",14187,2705,43.5,14372,16.6,40.4,2386,-185,319,13.37,-0.28,-0.01,-0.118
"2700","48353",14990,2630,38.8,15104,16.2,38.2,2447,-114,183,7.48,-0.3,-0.49,-0.414
"2701","48355",358484,47851,35.1,340568,12.1,35,41209,17916,6642,16.12,0.64,0.22,0.388
"2702","48357",10484,1054,31.7,10314,10.7,31.1,1104,170,-50,-4.53,-0.33,-1.47,-1.014
"2703","48359",2083,287,29.9,2048,15.3,39.3,313,35,-26,-8.31,-0.33,-1.78,-1.2
"2704","48361",83909,12566,37.7,82306,14,38.7,11523,1603,1043,9.05,-0.17,-0.36,-0.284
"2705","48363",28109,5260,41,28010,16.5,40.3,4622,99,638,13.8,-0.23,0.03,-0.074
"2706","48365",23574,4072,38.7,23814,15.7,39.3,3739,-240,333,8.91,-0.28,-0.37,-0.334
"2707","48367",125963,18674,39.6,116820,12.5,38.9,14602,9143,4072,27.89,0.26,1.18,0.812
"2708","48369",9871,1294,34.1,10172,12.2,32.2,1241,-301,53,4.27,-0.32,-0.75,-0.578
"2709","48371",15804,1979,36.2,15510,12,36.1,1861,294,118,6.34,-0.31,-0.58,-0.472
"2710","48373",46974,8817,43.4,45618,19.1,43.2,8713,1356,104,1.19,-0.31,-1,-0.724
"2711","48375",121230,14090,33.6,121099,10.9,32.8,13200,131,890,6.74,-0.2,-0.55,-0.41
"2712","48377",7191,1573,41.4,7678,18.5,39,1420,-487,153,10.77,-0.3,-0.22,-0.252
"2713","48379",11246,2642,47.6,10976,20.8,45.9,2283,270,359,15.72,-0.27,0.19,0.00599999999999998
"2714","48381",130552,18129,35.6,121090,12.5,35.3,15136,9462,2993,19.77,0.11,0.52,0.356
"2715","48383",3735,413,33,3384,10.1,34.4,342,351,71,20.76,-0.32,0.6,0.232
"2716","48385",3358,1145,54.3,3326,32.5,51.8,1081,32,64,5.92,-0.32,-0.62,-0.5
